interaction_id,customer_id,interaction_timestamp,interaction_type,channel,agent_id,category,subcategory,sentiment_score,resolution_time_minutes,satisfaction_rating,notes,_source_system,_ingestion_timestamp,_file_name,_record_offset
INT0001,CUST10001,2025-10-18 10:15:30,support_ticket,email,AGT001,order_issue,shipping_delay,0.45,125,4,Customer concerned about delayed shipment. Provided tracking update.,support_crm,2025-10-18 12:00:00,interactions_20251018.json,0
INT0002,CUST10003,2025-10-18 14:22:45,chat,web,AGT002,product_inquiry,specifications,0.82,15,5,Quick question about product dimensions. Resolved immediately.,support_crm,2025-10-18 15:00:00,interactions_20251018.json,1
INT0003,CUST10005,2025-10-19 09:45:12,phone,phone,AGT003,billing,subscription_renewal,0.35,45,3,Confusion about auto-renewal charges. Explained policy.,support_crm,2025-10-19 11:00:00,interactions_20251019.json,0
INT0004,CUST10007,2025-10-19 11:30:55,email,email,AGT001,account,password_reset,-0.15,180,2,Multiple failed login attempts. Reset password and verified identity.,support_crm,2025-10-19 14:00:00,interactions_20251019.json,1
INT0005,CUST10002,2025-10-19 15:18:20,chat,mobile,AGT004,product_inquiry,availability,0.75,8,5,Asked about product restock date. Provided estimate.,support_crm,2025-10-19 16:00:00,interactions_20251019.json,2
INT0006,CUST10009,2025-10-20 08:52:33,support_ticket,email,AGT002,return,defective_product,-0.45,240,2,Product arrived damaged. Initiated return and replacement.,support_crm,2025-10-20 13:00:00,interactions_20251020.json,0
INT0007,CUST10004,2025-10-20 12:40:18,social_media,twitter,AGT005,complaint,customer_service,-0.65,90,1,Public complaint about previous support interaction. Escalated to manager.,support_crm,2025-10-20 14:00:00,interactions_20251020.json,1
INT0008,CUST10011,2025-10-20 16:25:45,chat,web,AGT003,order_issue,wrong_item,0.15,60,3,Received incorrect product. Arranged exchange.,support_crm,2025-10-20 17:00:00,interactions_20251020.json,2
INT0009,CUST10006,2025-10-21 10:10:22,phone,phone,AGT001,subscription,cancellation,-0.25,30,3,Customer wants to cancel subscription. Processed cancellation.,support_crm,2025-10-21 11:00:00,interactions_20251021.json,0
INT0010,CUST10013,2025-10-21 13:55:40,email,email,AGT004,product_inquiry,compatibility,0.68,20,4,Question about product compatibility with existing items.,support_crm,2025-10-21 14:00:00,interactions_20251021.json,1
INT0011,CUST10008,2025-10-21 17:33:15,support_ticket,email,AGT002,billing,refund_request,0.25,150,4,Requested refund for cancelled order. Processed successfully.,support_crm,2025-10-21 20:00:00,interactions_20251021.json,2
INT0012,CUST10015,2025-10-22 09:20:08,chat,mobile,AGT005,technical,app_issue,-0.10,35,3,Mobile app not loading properly. Provided troubleshooting steps.,support_crm,2025-10-22 10:00:00,interactions_20251022.json,0
INT0013,CUST10010,2025-10-22 11:45:50,phone,phone,AGT003,order_inquiry,tracking,0.55,12,5,Simple tracking number request. Provided immediately.,support_crm,2025-10-22 12:00:00,interactions_20251022.json,1
INT0014,CUST10012,2025-10-22 14:12:33,email,email,AGT001,promotion,coupon_code,0.80,25,5,Asked about current promotions. Sent discount code.,support_crm,2025-10-22 15:00:00,interactions_20251022.json,2
INT0015,CUST10014,2025-10-22 18:38:27,chat,web,AGT004,product_inquiry,sizing,0.72,10,5,Question about clothing size chart. Provided measurements.,support_crm,2025-10-22 19:00:00,interactions_20251022.json,3
INT0016,CUST10016,2025-10-23 08:15:45,support_ticket,email,AGT002,return,changed_mind,0.40,90,4,Customer wants to return product. Provided return label.,support_crm,2025-10-23 10:00:00,interactions_20251023.json,0
INT0017,CUST10001,2025-10-23 12:50:12,social_media,facebook,AGT005,feedback,positive_review,0.95,5,5,Customer left positive feedback on social media. Thanked customer.,support_crm,2025-10-23 13:00:00,interactions_20251023.json,1
INT0018,CUST10003,2025-10-23 15:22:38,phone,phone,AGT003,account,update_info,0.60,18,4,Requested to update shipping address. Updated successfully.,support_crm,2025-10-23 16:00:00,interactions_20251023.json,2
INT0019,CUST10017,2025-10-23 17:40:55,chat,mobile,AGT001,order_inquiry,delivery_time,0.50,7,4,Asked about estimated delivery date. Provided timeline.,support_crm,2025-10-23 18:00:00,interactions_20251023.json,3
INT0020,CUST10005,2025-10-23 19:15:20,email,email,AGT004,technical,website_error,-0.30,120,2,Website checkout not working. IT team notified.,support_crm,2025-10-23 21:00:00,interactions_20251023.json,4
