campaign_id,campaign_name,campaign_type,channel,start_date,end_date,budget,target_audience,creative_id,_source_system,_ingestion_timestamp,_file_name,_record_offset
CAMP001,Fall Sale 2025,email,email,2025-10-01,2025-10-31,15000.00,"{""age_range"":""25-45"",""interests"":[""fashion"",""home-decor""],""segment"":""active-customers""}",CRE1001,marketing_platform,2025-10-01 08:00:00,campaigns_20251001.json,0
CAMP002,Black Friday Preview,social,facebook,2025-10-15,2025-11-15,25000.00,"{""age_range"":""18-65"",""interests"":[""shopping"",""deals""],""segment"":""all-users""}",CRE1002,marketing_platform,2025-10-15 08:00:00,campaigns_20251015.json,0
CAMP003,Tech Week Promotion,display,google_ads,2025-10-10,2025-10-24,18000.00,"{""age_range"":""20-50"",""interests"":[""technology"",""gadgets""],""segment"":""tech-enthusiasts""}",CRE1003,marketing_platform,2025-10-10 08:00:00,campaigns_20251010.json,0
CAMP004,Fitness October,email,email,2025-10-01,2025-10-31,8000.00,"{""age_range"":""22-55"",""interests"":[""fitness"",""health""],""segment"":""fitness-buyers""}",CRE1004,marketing_platform,2025-10-01 08:00:00,campaigns_20251001.json,1
CAMP005,Instagram Stories Flash Sale,social,instagram,2025-10-18,2025-10-20,5000.00,"{""age_range"":""18-35"",""interests"":[""fashion"",""lifestyle""],""segment"":""mobile-users""}",CRE1005,marketing_platform,2025-10-18 08:00:00,campaigns_20251018.json,0
CAMP006,Holiday Gift Guide,search,google_ads,2025-10-20,2025-12-25,35000.00,"{""age_range"":""25-65"",""interests"":[""gifts"",""shopping""],""segment"":""gift-shoppers""}",CRE1006,marketing_platform,2025-10-20 08:00:00,campaigns_20251020.json,0
CAMP007,VIP Customer Exclusive,email,email,2025-10-15,2025-10-22,3000.00,"{""age_range"":""30-60"",""segment"":""vip-customers"",""min_lifetime_value"":1000}",CRE1007,marketing_platform,2025-10-15 08:00:00,campaigns_20251015.json,1
CAMP008,YouTube Product Reviews,social,youtube,2025-10-01,2025-10-31,12000.00,"{""age_range"":""18-45"",""interests"":[""product-reviews"",""tech""],""segment"":""video-viewers""}",CRE1008,marketing_platform,2025-10-01 08:00:00,campaigns_20251001.json,2
CAMP009,Retargeting Cart Abandoners,display,criteo,2025-10-01,2025-10-31,10000.00,"{""segment"":""cart-abandoners"",""days_since_abandonment"":""1-7""}",CRE1009,marketing_platform,2025-10-01 08:00:00,campaigns_20251001.json,3
CAMP010,Affiliate Partnership October,affiliate,impact,2025-10-01,2025-10-31,20000.00,"{""affiliate_tier"":""premium"",""commission_rate"":0.10}",CRE1010,marketing_platform,2025-10-01 08:00:00,campaigns_20251001.json,4
CAMP011,TikTok Trending Challenge,social,tiktok,2025-10-12,2025-10-26,8500.00,"{""age_range"":""16-30"",""interests"":[""viral-content"",""challenges""],""segment"":""gen-z""}",CRE1011,marketing_platform,2025-10-12 08:00:00,campaigns_20251012.json,0
CAMP012,Customer Winback Campaign,email,email,2025-10-05,2025-10-31,6000.00,"{""segment"":""churned-customers"",""last_purchase_days"":""90-365""}",CRE1012,marketing_platform,2025-10-05 08:00:00,campaigns_20251005.json,0
CAMP013,LinkedIn B2B Tech,social,linkedin,2025-10-01,2025-11-30,15000.00,"{""job_titles"":[""CTO"",""IT-Manager"",""Developer""],""company_size"":""100+""}",CRE1013,marketing_platform,2025-10-01 08:00:00,campaigns_20251001.json,5
CAMP014,Mobile App Install Campaign,display,facebook,2025-10-08,2025-10-31,9000.00,"{""age_range"":""18-45"",""device"":""mobile"",""segment"":""non-app-users""}",CRE1014,marketing_platform,2025-10-08 08:00:00,campaigns_20251008.json,0
CAMP015,Subscription Upsell,email,email,2025-10-10,2025-10-31,4000.00,"{""segment"":""basic-subscribers"",""tenure_months"":""3+""}",CRE1015,marketing_platform,2025-10-10 08:00:00,campaigns_20251010.json,1
